stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
Route3B-0372_Eastview Rd. at Victoria Rd.,0372,Eastview Rd. at Victoria Rd.,,43.565032,-80.241989,,,,
Route3B-0373_211 Victoria Rd. N.,0373,211 Victoria Rd. N.,,43.567067,-80.244971,,,,
Route3B-0374_Victoria Rd. N. at Eramosa Rd.,0374,Victoria Rd. N. at Eramosa Rd.,,43.56962,-80.248568,,,,
Route3B-0375_Victoria Rd. N. at Speedvale Ave. E.,0375,Victoria Rd. N. at Speedvale Ave. E.,,43.57197,-80.251773,,,,
Route3B-0376_Victoria Rd. N. at Brant Ave.,0376,Victoria Rd. N. at Brant Ave.,,43.575281,-80.256345,,,,
Route3B-0377_Victoria Rd. N. at Woodlawn Rd. E.,0377,Victoria Rd. N. at Woodlawn Rd. E.,,43.578063,-80.260204,,,,
Route3B-0378_Victoria Rd. N. opposite Trillium Waldorf,0378,Victoria Rd. N. opposite Trillium Waldorf,,43.580826,-80.264077,,,,
Route3B-0379_Inverness Dr. at Wilton Rd.,0379,Inverness Dr. at Wilton Rd.,,43.579009,-80.266687,,,,
Route3B-0380_Inverness Dr. at Woodlawn Rd.,0380,Inverness Dr. at Woodlawn Rd.,,43.576353,-80.262822,,,,
Route3B-0381_Woodlawn Rd. E. at Golfview Dr.,0381,Woodlawn Rd. E. at Golfview Dr.,,43.574227,-80.264853,,,,
Route3B-0382_Woodlawn Rd. E. at Country Club Dr.,0382,Woodlawn Rd. E. at Country Club Dr.,,43.571818,-80.268227,,,,
Route3B-0383_Woodlawn Rd. E. at Riverside Glen,0383,Woodlawn Rd. E. at Riverside Glen,,43.568609,-80.272695,,,,
Route3B-0384_Woodlawn Rd. E. at Canadian Tire,0384,Woodlawn Rd. E. at Canadian Tire,,43.566001,-80.276314,,,,
Route3B-0385_Smart Centre Guelph,0385,Smart Centre Guelph,,43.56494,-80.279664,,,,
Route3B-0386_Nicklin Rd. at Burns Dr.,0386,Nicklin Rd. at Burns Dr.,,43.558355,-80.280122,,,,
Route3B-0387_Bailey Ave. at Kathleen St.,0387,Bailey Ave. at Kathleen St.,,43.557298,-80.276217,,,,
Route3B-0388_Kathleen St. at Speedvale Ave. W.,0388,Kathleen St. at Speedvale Ave. W.,,43.555549,-80.27256,,,,
Route3B-0389_Westmount Rd. at Kimberley Dr.,0389,Westmount Rd. at Kimberley Dr.,,43.553154,-80.274126,,,,
Route3B-0390_St. Joseph's Health Centre,0390,St. Joseph's Health Centre,,43.549794,-80.269589,,,,
Route3B-0391_Westmount Rd. at Division St.,0391,Westmount Rd. at Division St.,,43.550158,-80.270008,,,,
Route3B-0392_Westmount Rd. at Lourdes,0392,Westmount Rd. at Lourdes,,43.548554,-80.267786,,,,
Route3B-0393_Westmount Rd. at London Rd. W.,0393,Westmount Rd. at London Rd. W.,,43.545476,-80.263459,,,,
Route3B-0394_Yorkshire St. N. at Home St.,0394,Yorkshire St. N. at Home St.,,43.545781,-80.261342,,,,
Route3B-0395_Suffolk St. at Glasgow St.,0395,Suffolk St. at Glasgow St.,,43.545368,-80.258562,,,,
Route3B-0396_Suffolk St. at Dublin St. Church,0396,Suffolk St. at Dublin St. Church,,43.546335,-80.256689,,,,
Route3B-0397_160 Woolwich.,0397,160 Woolwich.,,43.548027,-80.25168,,,,
Route3B-0398_Wyndham at IF Shoe Store,0398,Wyndham at IF Shoe Store,,43.545578,-80.249017,,,,
Route3B-0399_Guelph Central Station,0399,Guelph Central Station,,43.545180,-80.246050,,,,
